계정항목,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1,2024/Q2,2024/Q3,2024/Q4
"  수도, 하수 및 폐기물 처리, 원료 재생업","3,422.1 ","3,556.7 ","3,432.0 ","3,332.7 ","3,351.6 ","3,266.2 ","3,265.5 ","3,096.2 ","3,324.1 ","3,344.8 ","3,317.8 ","3,298.3 ","3,279.0 ","3,359.4 ","3,413.5 ","3,500.0 ","3,480.7 ","3,369.6 ","3,381.9 ","3,486.3 ","3,428.9 ","3,470.0 ","3,463.7 ","3,439.7 ","3,440.2 ","3,495.8 ","3,328.2 ","3,439.7 ","3,416.7 ","3,458.5 ","3,351.8 ","3,477.6 ","3,654.8 ","3,444.9 ","3,655.0 ","3,002.0 "
건설업,"25,710.1 ","26,551.4 ","27,721.7 ","27,989.5 ","28,723.6 ","28,647.0 ","29,182.1 ","28,545.1 ","29,052.9 ","28,483.7 ","27,763.4 ","27,398.1 ","27,134.9 ","28,064.5 ","27,515.5 ","28,028.9 ","28,062.7 ","27,990.9 ","26,986.4 ","27,215.4 ","27,456.6 ","27,359.9 ","26,963.5 ","27,538.1 ","27,165.7 ","27,050.1 ","27,648.8 ","28,390.2 ","28,723.2 ","27,942.7 ","28,985.7 ","27,966.3 ","29,505.6 ","27,730.8 ","27,341.1 ","26,216.8 "
  건물건설 및 건축보수업,"17,734.6 ","18,730.2 ","19,503.9 ","20,004.7 ","20,880.1 ","20,929.0 ","21,570.7 ","21,037.8 ","21,379.7 ","21,177.2 ","20,599.1 ","20,410.9 ","20,047.9 ","20,117.2 ","19,507.8 ","19,672.7 ","19,649.5 ","19,528.7 ","19,106.1 ","19,406.4 ","19,451.5 ","19,568.7 ","19,619.6 ","20,151.2 ","20,045.5 ","20,115.0 ","20,696.6 ","21,282.5 ","21,660.7 ","21,177.0 ","21,807.9 ","20,864.6 ","21,781.5 ","20,529.6 ","19,901.9 ","19,313.0 "
    주거용 건물 건설업,"8,382.7 ","9,095.6 ","9,490.6 ","9,855.6 ","10,438.6 ","10,382.9 ","10,553.1 ","10,487.9 ","10,786.1 ","10,734.7 ","10,617.1 ","10,073.9 ","9,642.0 ","9,583.1 ","9,025.3 ","8,881.5 ","8,975.1 ","9,098.6 ","8,979.3 ","8,913.3 ","8,613.4 ","8,563.4 ","8,728.7 ","9,213.9 ","8,673.6 ","8,903.3 ","9,045.9 ","9,335.6 ","9,616.5 ","9,379.6 ","9,456.2 ","9,060.6 ","9,486.9 ","8,924.8 ","8,398.7 ","8,042.4 "
    비주거용 건물 건설업,"7,981.5 ","8,151.0 ","8,481.2 ","8,577.6 ","8,885.4 ","9,008.5 ","9,368.4 ","9,019.2 ","8,922.0 ","8,773.1 ","8,276.4 ","8,652.9 ","8,643.7 ","8,718.1 ","8,713.2 ","8,976.3 ","8,860.2 ","8,656.3 ","8,301.2 ","8,490.0 ","8,801.5 ","8,909.4 ","8,793.0 ","8,830.3 ","9,086.9 ","9,040.7 ","9,507.2 ","9,832.5 ","9,865.6 ","9,689.4 ","10,215.1 ","9,705.5 ","10,094.3 ","9,506.8 ","9,342.0 ","9,156.9 "
    건축보수업,"1,367.8 ","1,484.8 ","1,532.9 ","1,573.5 ","1,555.9 ","1,536.4 ","1,648.9 ","1,529.2 ","1,672.1 ","1,670.2 ","1,707.7 ","1,685.4 ","1,762.7 ","1,816.3 ","1,769.1 ","1,814.3 ","1,813.8 ","1,773.7 ","1,825.9 ","2,003.3 ","2,036.6 ","2,095.9 ","2,097.9 ","2,107.0 ","2,284.7 ","2,170.9 ","2,143.3 ","2,114.1 ","2,178.2 ","2,107.7 ","2,136.1 ","2,098.1 ","2,199.8 ","2,097.5 ","2,160.4 ","2,112.4 "
  토목건설업,"7,970.1 ","7,818.9 ","8,215.0 ","7,984.5 ","7,844.5 ","7,719.7 ","7,614.6 ","7,510.0 ","7,675.5 ","7,309.2 ","7,166.8 ","6,989.8 ","7,089.3 ","7,948.1 ","8,008.0 ","8,355.9 ","8,412.9 ","8,461.8 ","7,880.5 ","7,809.6 ","8,005.1 ","7,791.1 ","7,344.0 ","7,386.9 ","7,122.8 ","6,938.5 ","6,956.4 ","7,112.3 ","7,068.2 ","6,771.9 ","7,183.2 ","7,105.6 ","7,728.4 ","7,205.4 ","7,442.4 ","6,907.5 "
서비스업,"261,452.9 ","264,105.3 ","265,934.4 ","266,639.8 ","268,261.8 ","270,531.3 ","273,889.1 ","275,383.6 ","280,537.3 ","282,016.3 ","284,363.4 ","286,735.6 ","289,606.4 ","292,892.9 ","295,062.6 ","299,127.6 ","293,465.0 ","289,187.8 ","293,508.7 ","295,504.2 ","299,280.7 ","304,301.9 ","306,912.8 ","312,107.9 ","311,398.1 ","317,089.9 ","318,597.0 ","321,985.7 ","322,682.6 ","322,852.9 ","324,329.5 ","325,588.3 ","328,515.0 ","328,514.0 ","329,221.5 ","330,436.8 "
  도소매 및 숙박음식업,"51,005.3 ","51,279.4 ","51,286.6 ","51,517.1 ","51,221.1 ","52,344.5 ","53,184.9 ","53,061.9 ","53,040.8 ","53,769.4 ","54,319.4 ","54,817.4 ","55,405.2 ","55,850.1 ","56,134.1 ","56,787.8 ","54,254.8 ","53,290.7 ","53,781.2 ","53,544.6 ","53,364.5 ","54,647.7 ","54,666.6 ","57,014.6 ","55,478.8 ","57,794.1 ","58,792.8 ","59,908.8 ","59,095.3 ","56,827.5 ","56,414.2 ","56,602.1 ","57,229.5 ","56,327.1 ","55,950.2 ","55,912.6 "
    도소매업,"39,395.9 ","39,596.2 ","39,547.2 ","39,899.6 ","39,601.8 ","40,587.2 ","41,262.5 ","41,370.8 ","40,949.3 ","41,638.5 ","42,116.5 ","42,565.6 ","42,739.6 ","43,277.4 ","43,614.7 ","44,060.8 ","43,185.5 ","42,513.8 ","43,350.7 ","43,999.7 ","43,406.9 ","43,792.6 ","43,589.6 ","44,856.4 ","44,393.6 ","45,299.4 ","45,731.5 ","46,719.9 ","46,133.2 ","44,538.9 ","43,969.6 ","43,727.9 ","43,998.3 ","44,197.2 ","43,725.5 ","43,215.5 "
