계정항목,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1,2024/Q2,2024/Q3,2024/Q4
    주거용 건물 건설업,"7,237.7 ","7,691.9 ","7,940.4 ","8,591.6 ","9,237.7 ","9,201.2 ","9,392.8 ","9,590.3 ","9,898.0 ","9,963.1 ","10,049.2 ","9,687.6 ","9,244.3 ","9,226.7 ","8,985.1 ","8,844.2 ","8,814.2 ","8,971.2 ","9,208.3 ","8,972.6 ","8,646.8 ","8,821.6 ","9,278.7 ","9,785.6 ","9,228.0 ","9,788.1 ","10,129.4 ","10,378.6 ","10,689.0 ","10,857.9 ","11,011.1 ","10,382.0 ","10,834.4 ","10,589.6 ","9,955.4 ","9,379.5 "
    비주거용 건물 건설업,"6,901.4 ","6,917.3 ","7,192.4 ","7,499.6 ","7,827.3 ","7,989.1 ","8,399.8 ","8,267.6 ","8,144.4 ","8,180.4 ","7,868.5 ","8,355.3 ","8,261.1 ","8,457.2 ","8,676.0 ","8,949.0 ","8,703.7 ","8,574.2 ","8,489.4 ","8,540.4 ","8,882.8 ","9,170.7 ","9,369.4 ","9,392.7 ","9,727.2 ","9,856.4 ","10,663.8 ","10,954.8 ","11,064.6 ","11,161.0 ","12,016.1 ","11,214.2 ","11,619.2 ","11,204.7 ","11,181.1 ","10,761.6 "
    건축보수업,"1,146.4 ","1,225.9 ","1,264.9 ","1,340.0 ","1,352.2 ","1,351.9 ","1,463.3 ","1,376.1 ","1,523.9 ","1,553.2 ","1,625.2 ","1,616.1 ","1,683.5 ","1,756.9 ","1,765.5 ","1,794.9 ","1,780.0 ","1,757.5 ","1,876.2 ","2,003.1 ","2,037.3 ","2,162.3 ","2,253.5 ","2,229.6 ","2,431.6 ","2,395.1 ","2,419.5 ","2,327.8 ","2,418.9 ","2,443.7 ","2,491.7 ","2,376.2 ","2,507.9 ","2,493.7 ","2,560.6 ","2,429.9 "
  토목건설업,"6,933.4 ","6,586.6 ","7,088.4 ","6,899.1 ","6,925.7 ","6,831.3 ","6,898.9 ","6,821.5 ","7,062.5 ","6,822.3 ","6,838.2 ","6,707.5 ","6,841.9 ","7,769.7 ","7,907.1 ","8,281.6 ","8,360.0 ","8,480.3 ","7,885.1 ","7,839.4 ","8,147.4 ","8,137.4 ","7,709.7 ","7,963.9 ","7,725.0 ","7,716.5 ","7,691.0 ","8,006.6 ","8,039.4 ","7,878.4 ","8,241.1 ","8,208.4 ","9,021.8 ","8,573.6 ","8,710.2 ","8,109.4 "
서비스업,"247,587.2 ","251,175.9 ","253,810.4 ","255,160.6 ","257,015.6 ","262,101.1 ","268,312.8 ","267,995.6 ","275,365.1 ","275,846.0 ","278,021.4 ","282,336.1 ","284,697.0 ","288,950.9 ","291,622.0 ","296,578.6 ","289,657.7 ","288,148.6 ","294,675.1 ","299,184.4 ","305,479.4 ","313,211.0 ","318,080.4 ","327,505.1 ","331,264.4 ","337,177.7 ","338,513.4 ","342,498.8 ","349,722.5 ","350,890.5 ","350,396.2 ","354,359.5 ","360,714.0 ","361,713.9 ","363,197.1 ","369,899.4 "
  도소매 및 숙박음식업,"50,684.8 ","51,967.5 ","51,644.0 ","52,216.6 ","51,994.9 ","53,268.6 ","54,928.5 ","54,484.1 ","55,524.4 ","54,762.4 ","55,163.8 ","55,838.2 ","56,599.0 ","56,301.9 ","56,603.3 ","57,317.2 ","53,470.3 ","52,556.1 ","54,078.4 ","54,766.5 ","54,683.3 ","56,146.8 ","56,868.4 ","59,555.0 ","59,828.2 ","62,638.3 ","62,918.6 ","62,981.0 ","67,019.6 ","64,814.4 ","65,027.3 ","68,648.8 ","67,592.6 ","66,726.8 ","66,846.1 ","70,529.8 "
    도소매업,"40,114.9 ","41,175.1 ","40,683.7 ","41,426.7 ","41,256.4 ","42,291.7 ","43,389.9 ","43,005.8 ","43,945.0 ","43,039.4 ","43,244.7 ","43,662.4 ","44,175.0 ","43,955.1 ","43,860.5 ","44,183.2 ","42,696.1 ","41,832.7 ","43,559.4 ","44,961.4 ","44,917.4 ","44,968.6 ","45,773.8 ","47,477.3 ","48,285.1 ","49,016.4 ","48,412.9 ","48,239.1 ","51,747.0 ","48,900.3 ","49,528.7 ","52,943.1 ","51,766.4 ","50,154.3 ","50,604.6 ","53,989.1 "
    숙박 및 음식점업,"10,570.0 ","10,792.4 ","10,960.3 ","10,790.0 ","10,738.4 ","10,976.9 ","11,538.6 ","11,478.3 ","11,579.4 ","11,723.0 ","11,919.1 ","12,175.8 ","12,424.0 ","12,346.8 ","12,742.9 ","13,134.0 ","10,774.1 ","10,723.3 ","10,519.1 ","9,805.1 ","9,766.0 ","11,178.3 ","11,094.6 ","12,077.7 ","11,543.1 ","13,622.0 ","14,505.7 ","14,741.9 ","15,272.6 ","15,914.0 ","15,498.6 ","15,705.7 ","15,826.2 ","16,572.5 ","16,241.5 ","16,540.7 "
  운수업,"17,586.1 ","17,108.7 ","16,902.0 ","16,341.3 ","15,776.9 ","17,145.8 ","17,749.1 ","16,963.6 ","16,324.3 ","16,708.3 ","16,756.4 ","17,872.7 ","17,475.1 ","17,598.3 ","17,739.6 ","18,229.4 ","16,265.0 ","16,293.0 ","16,637.3 ","17,408.5 ","18,354.1 ","19,568.1 ","20,493.5 ","24,286.6 ","24,744.4 ","23,494.4 ","23,746.2 ","23,670.6 ","23,670.8 ","25,026.1 ","23,137.9 ","22,544.1 ","23,721.4 ","24,636.4 ","25,055.8 ","25,053.1 "
  금융 및 보험업,"21,882.7 ","21,915.5 ","22,295.1 ","22,745.5 ","23,158.1 ","23,863.0 ","24,943.0 ","24,176.1 ","25,606.2 ","25,754.7 ","25,830.4 ","25,949.7 ","25,511.2 ","25,914.2 ","25,706.7 ","25,940.3 ","26,557.6 ","26,993.4 ","27,958.3 ","28,507.0 ","29,880.1 ","30,519.1 ","31,272.4 ","32,349.6 ","32,824.6 ","33,751.0 ","33,898.9 ","35,929.9 ","34,774.7 ","35,029.5 ","34,823.9 ","33,938.4 ","35,133.9 ","35,079.6 ","34,643.2 ","34,547.1 "
