공장명(국가),차종,연료 유형,거래 구분,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,생산 상태
아산공장,싼타페,디젤,내수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,11,7,12,10,30,0,5,30,0,0,0,0,90,24,1,0,0,0,생산중
아산공장,펠리세이드,디젤,내수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,147,139,245,186,208,96,120,270,93,91,51,150,284,76,74,88,59,생산중
아산공장,쿠스토,가솔린,내수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,368,604,666,422,207,89,152,410,147,121,126,411,246,88,7,187,103,생산중
아산공장,아이오닉5,전기,내수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,30,0,1,1,30,0,0,0,0,29,0,0,1,0,0,0,0,0,생산중
아산공장,포터,디젤,내수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,346,639,579,190,285,276,333,80,70,80,80,0,0,1,1,385,402,452,300,200,240,90,160,260,90,281,170,112,287,257,227,407,300,210,115,245,150,298,241,235,275,257,374,240,380,307,183,390,300,300,270,300,450,360,384,305,301,360,90,450,346,208,191,406,213,286,264,186,60,268,181,297,70,447,193,339,0,342,268,62,291,395,325,생산중
아산공장,마이티,디젤,내수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,330,576,43,340,207,31,90,3,1,0,0,0,39,9,101,301,330,300,295,215,179,0,1,0,0,0,0,0,0,82,163,175,144,95,151,209,179,267,93,179,239,94,150,210,180,270,152,330,233,125,150,186,264,239,181,300,80,130,209,121,60,60,60,90,90,121,120,31,157,113,150,240,90,153,71,198,93,119,210,1,129,261,생산중
아산공장,마이티,디젤,내수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,269,661,379,547,201,0,1,0,4,0,0,0,3,0,0,11,0,131,59,31,98,33,25,31,29,102,134,65,30,150,89,91,29,60,176,100,142,209,246,0,210,120,180,210,212,298,329,302,270,240,210,0,240,300,120,0,150,149,88,118,247,85,32,150,180,12,168,266,154,240,153,156,278,228,0,66,120,512,생산중
아산공장,마이티,디젤,내수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,59,60,0,0,61,30,0,0,31,39,46,65,41,108,30,120,0,180,121,0,162,18,90,60,60,150,60,31,0,30,0,0,90,0,30,0,0,0,0,0,0,29,0,0,30,30,0,0,30,60,0,90,0,61,0,0,0,0,생산중
아산공장,마이티,디젤,내수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,30,68,179,123,136,237,19,169,109,123,147,60,207,180,30,152,113,10,180,90,60,60,90,60,90,59,1,60,60,0,59,1,60,0,0,0,0,0,0,0,0,0,0,0,30,21,39,30,0,28,2,0,0,0,0,0,생산중
아산공장,카운티,디젤,내수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,생산중
