공장명(국가),차종,연료 유형,거래 구분,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,생산 상태
중국공장,싼타페,디젤,수출,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,생산중
체코공장,코나,전기,수출,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2180,812,2159,4234,2848,2252,4273,3301,2660,3064,1706,1158,1756,1867,1731,1757,893,2006,2616,2680,1658,2815,2405,1445,2314,2408,3178,3089,2092,2660,2812,2606,2893,1926,3349,3531,4488,3473,3701,3698,2033,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,생산 종료
체코공장,투싼,디젤,수출,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13503,13148,18998,18905,19362,17517,19079,16553,21904,20069,20021,16082,14791,12621,12520,4646,8244,12289,12722,16296,17364,13611,4320,882,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,생산 종료
체코공장,투싼HEV,하이브리드,수출,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,242,4290,5389,4514,3237,4440,2844,3713,2957,2734,2588,3688,4413,4325,3167,4096,3057,3600,4174,5890,6204,3683,4339,5228,4376,5546,5069,4039,6020,6678,5531,5848,6314,4126,5386,6301,5972,6412,4635,5763,5563,5266,6871,6535,6966,5476,4884,7113,7961,7339,5391,5765,5300,생산중
체코공장,투싼PHEV,플러그인하이브리드,수출,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1487,3384,2401,2432,1943,2546,2641,1952,933,1354,2378,2131,1967,2823,2901,2664,2828,3196,3483,3764,2933,2059,1570,2911,3296,2272,2531,2914,1779,2059,2415,2503,2356,1319,2209,1636,1338,2048,2107,2015,2226,1452,1860,2009,1571,1183,1878,2331,생산중
튀르키예공장,i10,가솔린,내수,135,95,186,64,81,135,131,113,72,251,274,270,97,76,107,152,174,263,80,178,174,206,157,183,66,85,117,26,87,129,88,38,41,12,97,61,17,44,28,40,26,46,32,34,52,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,생산 종료
튀르키예공장,베이온,가솔린,내수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,778,850,706,351,981,860,1730,1011,929,900,896,1080,850,598,925,1090,1110,1257,985,1257,1257,985,1701,1701,2164,1743,947,1287,1726,1776,1186,1441,1200,1157,1061,1536,1182,1141,1271,1227,2496,2686,0,0,생산중
튀르키예공장,i20,N,내수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,8,4,15,50,22,13,21,35,10,21,19,20,30,15,26,32,33,49,20,10,60,49,51,50,50,0,174,76,50,0,0,0,0,0,0,생산 종료
튀르키예공장,i10,가솔린,수출,8999,8980,9369,7689,7690,7974,4616,5883,6705,8399,9212,10309,7459,8438,9167,9827,9074,7569,6219,6380,7331,8655,9238,7651,5223,7491,9810,7447,7409,7049,8517,1463,9591,8743,7625,8838,5282,6555,6975,4781,8987,6470,6741,4388,10062,9057,5017,211,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,생산 종료
튀르키예공장,베이온,가솔린,수출,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,225,158,223,458,475,321,472,232,347,2224,3053,3364,3011,3680,2783,2270,1244,4070,2454,3531,1751,5240,3608,3981,3375,3458,2817,4051,2405,6193,5595,4312,4754,4313,3357,2476,2523,4647,2965,4554,3320,3367,3184,2010,1358,0,0,생산중
튀르키예공장,i20,N,수출,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2080,3692,1737,2505,1969,3504,1981,1596,1030,1020,475,400,510,521,127,790,464,332,469,449,251,213,525,435,710,486,442,626,876,771,770,659,885,836,887,596,734,538,146,292,171,143,360,224,16,0,0,0,생산중
