CSI분류코드,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
    기타,89,86,88,86,88,88,91,89,88,90,87,87,83,83,85,84,87,89,89,88,87,88,90,89,86,89,88,86,86,88,84,82,83,87,85,84,83,85,85,85,84,85,85,85,87,84,86,84,84,83,78,71,75,79,80,78,75,77,80,78,77,75,78,81,84,83,84,82,84,85,84,83,81,80,79,80,79,75,76,75,78,76,79,78,78,79,78,81,84,83,88,88,87,81,83,85,85,85,85,83,83,85,87,87,85,85,86,84,82,82
    100만원미만,80,78,79,77,79,83,83,84,82,81,82,82,77,76,80,79,85,86,84,84,82,83,86,83,80,83,85,77,80,85,77,80,81,83,80,81,81,81,79,79,78,83,81,81,84,80,84,81,81,80,70,61,69,71,68,71,64,69,70,70,66,64,67,72,73,68,73,75,74,74,74,74,70,68,70,72,71,71,69,69,75,73,73,75,74,73,70,70,78,75,79,83,82,77,78,82,78,80,77,80,82,80,82,88,84,78,80,81,76,77
    100-200만원,84,85,86,86,87,84,85,85,83,89,84,82,74,76,78,78,84,84,86,84,86,84,87,86,83,80,84,88,88,88,86,79,83,87,84,87,86,90,87,89,85,87,87,84,86,85,87,86,86,82,74,67,71,79,80,78,75,79,80,74,72,72,78,79,82,82,83,80,82,86,85,79,77,80,80,81,78,82,77,78,81,77,81,78,79,75,78,79,76,84,83,82,82,79,81,82,80,81,82,75,76,84,79,82,81,82,81,80,73,78
    200-300만원,87,84,86,87,87,87,88,86,87,89,83,84,87,87,84,85,86,90,95,90,90,92,93,92,89,91,92,88,90,88,86,84,86,90,87,87,87,91,89,89,88,89,87,87,87,91,90,89,90,87,79,70,75,81,82,80,73,82,85,82,82,81,83,87,89,92,87,86,87,88,87,88,86,85,84,89,85,82,81,80,81,82,83,83,82,81,84,87,90,89,90,89,87,88,87,87,88,87,85,87,88,87,91,88,87,89,90,85,86,86
    300-400만원,93,91,91,91,89,89,88,90,91,90,88,89,88,86,89,93,91,92,91,92,91,95,97,91,94,93,93,95,95,92,90,87,88,87,89,87,88,90,88,92,89,89,89,89,90,89,90,89,91,87,79,78,78,79,82,82,79,81,86,84,85,87,88,89,90,90,88,88,87,88,90,91,91,87,89,89,87,82,79,84,84,81,80,82,79,78,80,83,87,87,91,92,92,87,86,87,88,91,90,89,86,89,92,90,90,91,91,84,86,84
    400-500만원,93,94,97,97,98,96,95,97,96,96,98,93,91,93,95,95,94,98,97,98,99,96,96,97,98,95,100,100,99,98,94,93,93,94,94,93,94,93,94,95,95,94,92,92,94,92,93,95,96,95,87,82,81,87,87,89,86,91,93,88,90,92,95,97,97,98,96,93,93,94,96,94,95,95,97,94,92,88,81,82,85,84,83,84,81,81,81,85,86,86,89,89,87,86,85,87,86,89,89,88,86,88,90,88,89,88,89,85,86,89
    500만원이상,97,97,98,98,96,97,99,98,99,99,97,95,94,96,97,98,101,101,104,102,103,101,103,103,103,106,104,103,103,102,100,97,98,97,95,94,96,100,97,99,99,98,98,97,99,99,98,99,100,101,92,86,88,92,94,93,90,95,98,95,95,97,98,101,101,101,99,99,98,98,99,98,99,98,98,100,97,94,87,89,90,86,86,86,87,87,88,93,93,94,96,94,93,93,90,92,94,94,93,95,94,96,96,94,95,95,96,91,93,93
    자가,91,90,92,92,91,91,91,92,91,93,90,88,88,88,89,90,92,94,96,94,94,95,97,95,93,94,96,94,96,94,91,89,91,91,90,88,89,92,90,91,91,90,90,89,91,90,91,91,92,91,82,75,78,83,84,85,80,85,88,85,85,86,89,91,93,93,91,90,90,92,92,91,91,91,90,92,89,87,81,83,84,82,83,84,83,81,84,87,89,89,92,91,90,89,88,89,90,90,89,89,88,91,92,91,90,91,92,87,87,87
    임차 등,88,89,89,89,90,90,91,89,91,91,89,89,86,87,90,91,91,92,94,92,93,93,93,93,95,95,95,96,94,95,91,87,90,91,90,91,92,94,94,96,92,94,93,93,94,95,93,93,95,93,85,81,82,86,88,86,82,87,90,87,87,87,89,93,92,93,91,91,91,92,92,91,91,89,92,93,91,87,82,84,86,83,83,82,81,82,82,86,87,88,89,90,89,86,85,86,87,90,89,90,88,89,91,89,90,90,90,86,87,88
    서울,86,89,90,91,92,92,93,92,92,94,90,87,86,86,89,92,93,93,93,91,92,93,95,93,93,95,94,91,92,93,89,85,93,94,92,91,91,96,95,96,95,95,91,92,94,92,93,93,95,93,85,78,80,85,86,87,81,85,89,85,84,87,88,91,93,92,91,91,92,93,93,92,92,91,92,95,91,89,86,86,87,83,84,84,84,83,85,87,90,90,93,93,90,88,87,86,89,89,88,89,88,92,92,90,89,90,91,85,87,87
    6대광역시,89,87,89,88,88,88,91,88,88,89,88,88,85,85,88,87,88,91,94,92,94,95,95,93,93,92,95,94,96,93,90,90,88,90,87,88,88,90,89,91,91,90,89,88,89,89,89,90,91,89,81,75,77,82,83,84,81,86,87,85,85,85,89,91,93,92,91,90,89,91,92,92,90,89,89,91,89,85,79,82,85,83,82,80,82,83,83,85,87,87,89,88,88,87,85,87,89,88,89,88,88,90,91,90,90,90,90,85,86,87
    기타도시,93,92,92,93,92,91,90,93,92,93,91,90,89,91,90,92,93,95,97,96,95,94,96,96,95,95,96,97,96,95,93,90,90,91,91,89,90,93,90,93,90,91,92,91,92,93,93,92,94,92,83,77,80,85,86,85,81,86,90,86,87,87,89,92,93,94,92,91,91,92,92,91,91,91,90,92,89,87,80,82,84,82,83,84,81,81,83,87,88,90,91,91,90,88,87,90,89,91,89,90,88,90,91,90,91,91,92,88,88,88
