CSI분류코드,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
    기타,83,80,85,90,87,84,85,87,84,83,66,65,64,68,72,86,102,106,103,99,91,93,104,102,95,95,94,90,95,89,81,78,72,76,69,67,70,72,73,74,67,67,63,58,69,70,74,78,80,69,55,51,62,64,65,68,56,73,83,71,76,78,80,84,90,101,86,82,85,91,87,78,83,82,83,82,82,66,57,62,65,63,59,68,65,65,68,70,80,84,93,87,81,76,79,85,88,86,84,89,85,86,90,88,85,89,81,64,67,73
    100만원미만,83,79,85,87,86,84,87,86,91,84,65,62,65,70,71,83,99,105,97,101,92,97,104,99,94,95,90,92,93,90,84,84,79,81,74,73,73,80,76,80,70,72,69,61,72,75,71,81,82,72,56,51,65,71,64,66,57,74,83,70,74,78,76,80,87,95,81,82,82,88,87,76,81,83,88,83,78,67,58,63,62,64,61,67,68,68,72,69,76,80,89,84,80,79,83,82,87,82,77,86,82,87,89,85,81,86,85,73,71,73
    100-200만원,78,77,84,87,84,83,84,86,82,79,66,67,65,67,71,83,97,102,97,99,89,91,101,99,95,91,90,89,94,90,82,75,75,74,72,73,72,75,75,75,71,70,65,59,67,71,77,78,81,68,58,50,61,62,68,67,57,70,79,66,74,76,79,82,84,96,82,76,82,89,85,76,83,82,80,77,82,71,55,60,68,62,58,67,63,62,66,69,76,76,85,78,75,74,74,77,82,79,79,82,78,82,82,80,80,83,72,54,60,71
    200-300만원,77,74,81,84,78,74,79,83,79,76,64,66,66,69,75,86,109,106,105,101,92,95,104,102,98,94,95,93,99,93,86,81,76,75,69,71,77,79,78,79,72,74,69,65,74,78,81,80,85,72,61,65,68,71,69,72,67,82,87,77,86,87,88,91,95,106,87,88,90,93,92,85,90,88,84,86,84,69,52,61,65,59,59,67,61,61,65,70,78,80,85,79,75,71,71,79,81,79,78,76,75,75,80,80,77,78,78,57,65,74
    300-400만원,80,77,80,86,82,79,77,83,83,83,64,68,68,70,79,92,112,113,111,106,99,103,110,106,105,101,99,100,103,96,89,81,74,75,73,71,74,77,77,81,74,72,71,67,75,76,79,79,83,80,59,58,66,69,68,74,64,80,89,79,88,85,90,91,97,104,90,89,94,96,94,85,90,87,87,86,86,66,52,63,62,59,56,66,66,60,64,68,75,80,87,81,79,72,74,78,83,83,81,84,80,82,87,85,81,85,74,56,66,71
    400-500만원,78,75,83,86,79,78,77,83,83,81,65,64,66,73,77,90,115,119,115,106,99,103,108,108,105,102,101,99,105,102,91,90,81,82,74,75,80,81,83,84,77,77,72,65,79,79,85,84,91,78,62,60,64,69,71,78,65,85,96,83,91,95,101,97,100,114,94,94,94,97,96,91,92,94,86,86,84,68,49,57,65,55,53,60,58,58,61,65,72,76,82,76,69,69,69,74,83,81,81,81,79,82,83,78,81,80,72,54,66,72
    500만원이상,77,74,82,85,78,77,82,87,83,81,62,64,67,72,80,91,119,118,115,107,102,103,113,109,106,101,101,98,104,98,88,83,78,77,71,72,77,83,81,84,80,78,71,69,75,79,85,86,92,81,67,63,73,73,75,81,71,90,99,90,98,99,102,103,108,119,99,96,103,101,103,95,99,98,92,91,85,70,46,53,57,50,48,56,56,60,60,66,71,77,83,81,73,68,70,77,79,79,80,81,80,80,84,79,79,81,73,55,65,74
    자가,78,75,83,86,81,79,80,85,82,81,64,65,66,70,76,90,111,112,109,103,96,100,109,105,102,98,98,96,101,96,85,82,76,76,70,71,74,78,77,79,73,73,67,63,72,75,80,82,87,75,60,56,66,69,69,74,63,83,92,81,89,90,94,94,99,110,93,90,94,96,96,89,92,92,87,86,84,69,50,58,61,56,53,61,60,61,64,68,76,80,87,82,75,72,73,80,84,81,82,82,80,82,86,82,81,82,75,56,64,70
    임차 등,78,76,81,85,78,76,80,83,83,78,63,66,69,72,78,87,110,113,108,105,97,98,104,104,102,98,96,96,101,96,91,82,79,79,75,75,79,82,82,87,79,78,75,71,80,81,84,82,87,80,65,66,71,72,74,76,70,83,90,79,88,91,92,94,97,107,89,90,94,96,95,86,93,91,88,89,85,68,51,58,63,55,56,63,61,60,62,67,71,74,80,77,72,68,70,73,77,78,76,79,76,78,79,78,76,80,73,57,68,77
    서울,79,76,84,88,80,80,81,86,83,80,64,64,72,72,73,89,110,114,109,102,94,95,106,104,101,97,96,94,95,93,86,80,75,77,72,73,78,79,78,82,76,77,70,68,75,76,81,79,85,74,59,60,64,67,69,72,67,79,88,75,85,88,90,93,96,108,90,88,93,94,95,86,94,90,89,86,83,69,50,56,61,53,55,60,60,58,62,65,74,77,84,80,73,69,69,75,80,79,77,80,78,79,83,78,78,82,75,54,66,73
    6대광역시,77,72,80,82,79,75,78,81,80,79,63,65,62,68,76,87,110,109,107,104,96,100,107,103,99,95,96,92,100,92,83,82,75,78,71,71,76,79,79,79,75,74,68,63,74,76,80,83,88,76,62,58,66,71,71,76,66,82,93,83,89,90,93,94,100,109,93,92,94,96,95,88,91,91,87,86,85,70,52,59,62,59,55,63,59,61,62,67,71,77,83,77,72,70,72,76,81,80,80,82,80,81,83,81,80,80,75,58,66,73
    기타도시,79,77,82,87,81,79,81,86,84,81,65,67,67,71,79,90,111,113,110,105,98,101,109,107,104,100,99,99,105,99,90,83,79,77,72,73,75,80,79,82,74,74,71,66,75,78,82,83,87,78,63,60,70,71,71,76,65,85,92,82,91,91,94,95,99,110,92,90,95,97,96,89,93,92,87,88,84,68,50,58,62,56,53,62,61,61,64,69,75,78,86,82,76,71,73,79,82,81,81,81,78,80,85,81,79,82,74,56,65,73
