CSI분류코드,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
    100-200만원,78,80,79,82,85,85,84,84,85,87,80,80,79,77,81,81,82,85,86,88,84,84,83,82,81,78,78,80,78,83,84,81,83,84,82,85,83,85,83,89,83,82,85,83,84,84,89,87,86,86,79,71,74,79,79,79,76,78,80,73,78,80,83,78,78,81,82,78,79,85,80,79,81,81,83,79,78,78,79,79,83,79,79,84,80,80,81,84,84,85,83,88,83,82,86,84,84,81,81,80,82,82,83,83,83,86,84,82,79,82
    200-300만원,82,81,85,85,83,81,81,85,82,86,80,83,81,86,83,83,81,86,83,85,86,86,86,85,83,84,85,82,84,80,82,80,87,87,89,87,90,90,89,92,89,88,90,83,87,89,89,89,92,90,83,79,81,85,81,86,82,87,87,87,88,88,88,91,90,90,89,87,90,89,90,88,90,88,89,91,85,83,86,88,91,88,87,88,88,88,86,90,91,88,92,91,91,90,91,92,92,93,91,90,87,88,91,87,86,94,91,88,88,89
    300-400만원,88,89,87,88,87,83,86,89,92,89,88,87,88,88,91,89,90,93,92,91,89,93,96,93,95,92,89,91,95,88,91,88,91,90,92,89,89,90,89,90,92,89,92,88,87,90,91,89,92,91,88,85,87,85,87,88,85,84,89,90,89,88,91,89,91,90,86,91,89,88,90,88,91,89,91,90,91,87,84,87,88,86,87,86,86,83,88,90,89,91,92,92,94,89,89,92,90,92,93,93,90,91,92,93,94,95,94,89,91,88
    400-500만원,89,89,94,91,91,90,90,90,89,90,89,91,92,93,90,93,96,98,97,97,97,93,98,93,95,96,97,95,97,95,95,94,94,98,91,95,97,96,96,97,94,96,92,92,95,98,96,94,97,99,93,89,88,92,87,92,89,91,97,91,95,94,98,97,96,98,95,94,96,92,97,95,95,96,96,94,95,92,87,85,86,85,89,87,86,88,90,92,88,88,89,93,91,89,89,90,91,88,94,89,89,92,93,89,90,94,89,90,92,93
    500만원이상,98,98,98,101,100,96,97,100,99,99,95,96,95,98,98,99,102,102,101,101,100,97,103,100,101,103,103,102,102,101,100,100,102,99,97,99,98,102,102,104,103,103,104,98,102,101,101,101,103,103,98,95,95,98,100,102,99,101,103,100,103,105,105,106,106,106,106,106,105,103,104,104,105,107,104,105,102,100,93,94,96,91,93,92,94,97,95,99,98,99,99,97,97,97,96,99,102,101,102,102,99,99,102,98,98,101,100,99,101,102
    자가,87,87,89,89,88,85,87,89,88,89,87,87,87,88,89,90,91,93,93,91,91,91,94,92,91,92,93,91,93,91,91,88,93,91,89,90,90,92,91,94,92,91,92,88,91,90,91,91,93,92,87,82,84,87,86,89,85,87,91,88,89,91,92,92,94,94,94,93,93,93,94,93,93,94,94,95,92,90,86,87,88,85,86,86,86,89,88,91,91,91,92,92,92,91,90,92,92,92,94,91,91,92,93,91,91,94,93,91,91,92
    임차 등,88,86,87,88,91,89,88,90,92,92,86,87,87,90,89,89,89,93,90,94,90,91,93,89,92,90,87,90,90,88,90,90,90,92,92,92,94,94,95,97,95,93,96,92,95,98,96,95,98,98,91,89,90,91,92,92,91,95,95,92,98,95,95,97,95,96,93,95,97,94,93,93,95,95,95,95,94,92,88,90,92,90,91,91,89,89,90,94,93,92,94,94,94,91,93,94,96,96,96,97,94,94,96,94,94,98,95,93,96,96
    서울,89,87,90,91,91,90,91,92,92,93,87,88,88,92,93,91,91,93,91,93,90,93,94,91,95,92,91,90,94,92,92,90,94,93,91,94,96,98,96,100,96,98,95,93,95,95,96,96,99,98,91,87,91,92,92,95,92,96,95,92,95,96,94,93,94,94,95,95,99,95,93,96,94,96,95,98,95,93,91,90,94,88,90,91,87,90,90,92,93,93,97,96,94,92,92,94,96,95,97,95,91,93,95,91,91,95,94,92,94,94
    6대광역시,85,86,87,85,86,84,85,87,88,87,87,87,86,86,87,87,89,91,91,89,90,89,94,89,89,88,90,89,90,88,89,87,88,90,87,87,88,88,88,91,90,88,90,87,91,90,90,90,92,90,84,81,81,84,83,85,84,85,91,85,88,86,90,90,94,93,92,90,91,92,91,92,91,92,93,90,89,88,87,87,90,87,88,86,87,89,89,91,90,90,91,92,91,89,89,92,92,93,93,92,91,91,93,92,92,94,93,89,90,93
    기타도시,88,88,89,90,90,86,87,90,89,91,87,87,87,90,88,90,92,94,93,93,92,91,93,92,91,93,91,92,92,90,92,90,93,92,91,91,91,94,93,94,93,92,94,89,92,94,94,92,95,95,89,84,86,89,89,91,87,89,92,90,92,94,95,96,95,96,93,95,94,93,95,92,95,95,95,95,93,90,85,87,88,86,87,88,88,88,88,93,91,91,92,92,93,91,92,93,93,93,94,93,92,93,95,92,92,96,93,93,94,94
