국가별,2023,2023.1,2023.2,2022,2022.1,2022.2,2021,2021.1,2021.2,2020,2020.1,2020.2,2019,2019.1,2019.2,2018,2018.1,2018.2,2017,2017.1,2017.2,2016,2016.1,2016.2
세계,전체,승용차,상용차,전체,승용차,상용차,전체,승용차,상용차,전체,승용차,상용차,전체,승용차,상용차,전체,승용차,상용차,전체,승용차,상용차,전체,승용차,상용차
　　　필리핀,110350,49852,60498,92223,41663,50560,85874,46278,39596,67297,37141,30156,4284996,3073948,1370396,4528934,3315497,1337892,4370270,3274713,1173811,4267363,3221276,1148144
　　　대만,269425,207223,62202,261263,191409,69854,265320,196749,68571,245615,180967,64648,251304,131382,119922,253241,137425,115816,291563,177318,114245,309531,202760,106771
　　　태국,1834986,637164,1197822,1882385,592927,1289458,1685705,594690,1091015,1427074,537633,889441,2013710,796304,1217406,2162439,875741,1286698,1988823,818440,1170383,1944417,805033,1139384
　　　튀르키예,1468393,952667,515726,1352648,810889,541759,1276140,782835,493305,1297878,855043,442835,1461244,982642,478602,1550150,1026461,523689,1673664,1120839,552825,1485927,950888,535039
　　　우즈베키스탄,425876,421414,4462,333569,328118,5451,242104,236668,5436,284885,280080,4805,271113,212001,59112,220667,178667,42000,140247,112975,27272,88152,68857,19295
　　　베트남,347400,272600,74800,232410,162491,69919,167799,123482,44317,165568,125235,40333,288418,215242,73176,279230,200284,78946,250619,146994,103625,271833,159501,112332
북아메리카,3926681,2968048,1298762,3559882,2620591,1135870,3275965,2380388,1186247,3108857,2281984,1090641,4284996,3073948,1370396,4528934,3315497,1337892,4370270,3274713,1173811,4267363,3221276,1148144
　　　캐나다,1552940,376588,1176352,1233360,289371,943989,1115002,288235,826767,1376127,327681,1048446,1916585,461370,1455215,2025794,655896,1369898,2194003,751048,1442955,2370656,803230,1567426
　　　멕시코,3979941,875963,3103978,3478373,638971,2839402,3194858,708242,2486616,3177251,967479,2209772,3992483,1381919,2610564,4100770,1581012,2519758,4070424,1900149,2170275,3600365,1993178,1607187
　　　미국,10611580,1745717,8865863,10103223,1766495,8336728,9157205,1562717,7594488,8821026,1924398,6896628,10892884,2511711,8381173,11297190,2785164,8512026,11189985,3033216,8156769,12180301,3916584,8263717
남아메리카,3926681,2968048,1298762,3559882,2620591,1135870,3275965,2380388,1186247,3108857,2281984,1090641,4284996,3073948,1370396,4528934,3315497,1337892,4370270,3274713,1173811,4267363,3221276,1148144
　　　아르헨티나,625929,304345,321584,561993,257505,304488,434753,184106,250647,257187,93001,164186,314787,108364,206423,466649,208573,258076,496208,203694,292514,492576,241315,251261
　　　브라질,2339354,1782079,557275,2380161,1824833,555328,2248253,1707851,540402,2014055,1607175,406880,2804012,2449347,354665,2746376,2384582,361794,2699167,2269230,429937,2175284,1781370,393914
　　　콜롬비아,43897,43897,1298762,81185,81185,1135870,54010,54010,1186247,47281,47281,1090641,97543,97543,1370396,111404,111404,1337892,112003,103842,8161,79036,77946,1090
　　　에콰도르,3926681,2968048,1298762,3559882,2620591,1135870,3275965,2380388,1186247,3108857,2281984,1090641,23704,12493,11211,39991,26816,13175,43239,31284,11955,29064,22666,6398
　　　베네수엘라,3926681,2968048,1298762,3559882,2620591,1135870,3275965,2380388,1186247,3108857,2281984,1090641,4284996,3073948,1370396,4528934,3315497,1337892,1774,405,1369,2849,455,2394
유럽,3926681,2968048,1298762,3559882,2620591,1135870,3275965,2380388,1186247,3108857,2281984,1090641,4284996,3073948,1370396,4528934,3315497,1337892,4370270,3274713,1173811,4267363,3221276,1148144
　　　오스트리아,114191,102291,11900,119016,107516,11500,136700,124700,12000,125000,109500,15500,177959,158459,19500,164210,144410,19800,98716,81116,17600,92449,75049,17400
　　　벨라루스,3926681,2968048,1298762,3559882,2620591,1135870,29891,29891,1186247,31273,21295,9978,4284996,3073948,1370396,4528934,3315497,1337892,4370270,3274713,1173811,4267363,3221276,1148144
　　　벨기에,332103,285159,46944,276554,232100,44454,261038,224180,36858,267293,237057,30236,285760,247020,38740,309250,266700,42550,378360,335200,43160,399228,353778,45450
　　　체코,1404501,1397816,6685,1224456,1217787,6669,1111432,1105223,6209,1159151,1152901,6250,1433961,1427563,6398,1442884,1437396,5488,1419993,1413881,6112,1349896,1344182,5714
　　　핀란드,30191,30191,1298762,73044,73044,1135870,85934,85934,1186247,86270,86270,1090641,114785,114785,1370396,112104,112104,1337892,91598,91598,1173811,47968,47968,1148144
　　　프랑스,1423187,898345,524842,1424073,1010466,413607,1352226,918825,433401,1315997,927344,388653,2218601,1642001,576600,2328750,1763000,565750,2278980,1748000,530980,2132530,1626000,506530
　　　독일,4270792,4085600,185192,3890620,3480357,410263,3308692,3096165,212527,3742570,3515488,227082,5081949,4663749,418200,5554209,5120409,433800,6070267,5645584,424683,6210962,5746808,464154
　　　헝가리,507225,507225,1298762,444800,441800,3000,416725,416725,1186247,406497,406497,1090641,502000,498000,4000,466800,463000,3800,483429,480029,3400,528298,524798,3500
　　　이탈리아,733662,507398,226264,796394,473194,323200,797243,443819,353424,777057,451718,325339,915291,542472,372819,1062332,673196,389136,1142210,742642,399568,1103305,712971,390334
　　　네덜란드,880085,541953,338132,170900,101700,69200,107021,107021,1186247,127058,127058,1090641,265000,176100,88900,303150,214000,89150,249550,169100,80450,165380,87500,77880
　　　폴란드,612882,299300,313582,483840,255100,228740,439421,260800,178621,451382,278900,172482,644316,434700,209616,655110,451600,203510,685196,514702,170494,676342,554148,122194
　　　포르투갈,318231,243201,75030,322404,256018,66386,289954,229221,60733,264236,211281,52955,345688,282142,63546,294366,234151,60215,175544,126426,49118,143096,99200,43896
　　　루마니아,513050,513050,1298762,509465,509465,1135870,420755,420755,1186247,438107,438107,1090641,490412,349528,140884,476768,335261,141507,363687,354776,8911,359306,359306,1148144
　　　러시아,729864,526439,203425,607812,448246,159566,1567007,1352740,214267,1435551,1260518,175033,1715168,1518978,196190,1764320,1560218,204102,1551293,1348029,203264,1303989,1124774,179215
　　　슬로바키아,1080000,1080000,1298762,963536,963536,1135870,1030000,1030000,1186247,990598,990598,1090641,1131737,1131737,1370396,1092869,1092869,1337892,974231,974231,1173811,972890,972890,1148144
　　　슬로베니아,60881,60881,1298762,68130,68130,1135870,95797,95797,1186247,141714,141714,1090641,199116,199116,1370396,209370,209370,1337892,189850,189850,1173811,133559,133559,1148144
　　　스페인,2451221,1907050,544171,2219266,1785454,433812,2098133,1662174,435959,2268185,1800664,467521,2822360,2248019,574341,2819565,2267396,552169,2848335,2291492,556843,2885922,2354117,531805
　　　스웨덴,276750,276750,1298762,277100,239000,38100,258023,258023,1186247,249000,249000,1090641,329300,279000,50300,340200,290000,50200,275550,226000,49550,253574,205374,48200
　　　우크라이나,1993,1993,1298762,1490,1490,1135870,8153,7342,811,4951,4202,749,7265,6254,1011,6623,5660,963,9542,7296,2246,5498,4340,1158
　　　영국,998352,896409,101943,876614,775014,101600,932488,859575,72913,987044,920928,66116,1381405,1259864,121541,1604328,1474741,129587,1749385,1625990,123395,1816622,1670288,146334
　　　세르비아,186,2968048,186,4498,4358,140,21263,21109,154,23375,23272,103,4284996,3073948,1370396,4528934,3315497,1337892,4370270,3274713,1173811,4267363,3221276,1148144
아프리카,3926681,2968048,1298762,3559882,2620591,1135870,3275965,2380388,1186247,3108857,2281984,1090641,4284996,3073948,1370396,4528934,3315497,1337892,4370270,3274713,1173811,4267363,3221276,1148144
　　　알제리,2456,2260,196,2773,2030,743,5208,5208,1186247,754,754,1090641,4284996,3073948,1370396,4528934,3315497,1337892,4370270,3274713,1173811,4267363,3221276,1148144
　　　이집트,3926681,2968048,1298762,3559882,2620591,1135870,3275965,2380388,1186247,23754,23754,1090641,18500,18500,1370396,71600,19500,52100,36640,9970,26670,36230,10930,25300
　　　모로코,535825,471950,63875,464864,404742,60122,403007,338339,64668,328280,299753,28527,394652,360110,34542,402085,368601,33484,376286,341802,34484,345106,313868,31238
　　　남아프리카공화국,633337,336980,296357,555889,308311,247578,499087,239267,259820,447213,238216,208997,631983,348665,283318,610854,321097,289757,548389,320333,228056,599004,335539,263465
오세아니아,3926681,2968048,1298762,3559882,2620591,1135870,3275965,2380388,1186247,3108857,2281984,1090641,4284996,3073948,1370396,4528934,3315497,1337892,4370270,3274713,1173811,4267363,3221276,1148144
　　　오스트레일리아,7141,2968048,7141,6077,2620591,6077,5391,2380388,5391,4730,2281984,4730,4284996,3073948,1370396,4528934,3315497,1337892,92367,88167,4200,155666,142666,13000
